date,stiffness,rating,ascent_type,grade,color,climb_name,gym,location,country,attempts
Tue Nov 16 2021 15:20:30 GMT+0000 (GMT),0,,Flash,v1,Purple,,,,,1
Tue Nov 16 2021 15:20:58 GMT+0000 (GMT),0,,Repeat,v2,Purple,,,,,1
Tue Nov 16 2021 15:21:51 GMT+0000 (GMT),0,,Redpoint,v0,Purple,,,,,
Tue Nov 16 2021 16:51:55 GMT+0000 (GMT),0,,Flash,v3,White,,,,,1
Tue Nov 16 2021 16:57:07 GMT+0000 (GMT),0,,Repeat,v3,White,,,,,1
Tue Nov 16 2021 17:00:48 GMT+0000 (GMT),0,,Flash,v2,Purple,,,,,1
Tue Nov 16 2021 18:06:05 GMT+0000 (GMT),0,,Redpoint,v3,Yellow,,,,,4
Tue Nov 16 2021 18:09:32 GMT+0000 (GMT),0,,Flash,v0,Orange,,,,,1
Fri Nov 19 2021 01:20:02 GMT+0000 (GMT),0,,Flash,v1,Blue,,,,,1
Fri Nov 19 2021 01:20:02 GMT+0000 (GMT),0,,Redpoint,v1,,,,,,
Fri Nov 19 2021 01:20:02 GMT+0000 (GMT),0,,Redpoint,v1,,Taco Bell,,Kilter Board (Original),,
Fri Nov 19 2021 01:20:02 GMT+0000 (GMT),0,,Redpoint,v0,,,,,,
Fri Nov 19 2021 01:20:15 GMT+0000 (GMT),0,,Flash,v0,Pink,,,,,1
Fri Nov 19 2021 01:21:34 GMT+0000 (GMT),0,,Flash,v1,Yellow,,,,,1
Fri Nov 19 2021 03:53:59 GMT+0000 (GMT),0,,Redpoint,v2,White,,,,,
Fri Nov 19 2021 03:57:36 GMT+0000 (GMT),0,,Repeat,v2,Orange,,,,,1
Mon Nov 22 2021 21:07:40 GMT+0000 (GMT),0,,Flash,v0,Pink,,Touchstone Pacific Pipe,,,1
Mon Nov 22 2021 21:07:54 GMT+0000 (GMT),0,,Flash,v1,Black,,Touchstone Pacific Pipe,,,1
Mon Nov 22 2021 21:11:31 GMT+0000 (GMT),0,,Flash,v2,Yellow,,Touchstone Pacific Pipe,,,1
Mon Nov 22 2021 23:23:43 GMT+0000 (GMT),0,,Repeat,v3,Green,,Touchstone Pacific Pipe,,,1
Tue Nov 23 2021 00:14:19 GMT+0000 (GMT),0,,Flash,v2,Black,,Touchstone Pacific Pipe,,,1
Thu Nov 25 2021 00:16:34 GMT+0000 (GMT),0,,Flash,v0,Orange,,,,,1
Thu Nov 25 2021 00:16:44 GMT+0000 (GMT),0,,Redpoint,v1,Blue,,,,,
Thu Nov 25 2021 00:23:26 GMT+0000 (GMT),0,,Flash,v2,Pink,,,,,1
Thu Nov 25 2021 00:45:13 GMT+0000 (GMT),0,,Redpoint,v3,,,,,,2
Fri Nov 26 2021 18:11:03 GMT+0000 (GMT),0,,Flash,v0,Black,,,,,1
Fri Nov 26 2021 18:11:15 GMT+0000 (GMT),0,,Repeat,v1,Yellow,,,,,1
Fri Nov 26 2021 18:18:06 GMT+0000 (GMT),0,,Redpoint,v2,Purple,,,,,2
Fri Nov 26 2021 18:37:42 GMT+0000 (GMT),0,,Redpoint,v3,Yellow,,,,,3
Fri Nov 26 2021 19:03:46 GMT+0000 (GMT),0,,Flash,v2,,,,,,1
Fri Nov 26 2021 19:18:48 GMT+0000 (GMT),0,,Redpoint,v3,Pink,,,,,2
Fri Nov 26 2021 19:55:21 GMT+0000 (GMT),0,,Redpoint,v3,Yellow,,,,,3
Fri Nov 26 2021 20:39:27 GMT+0000 (GMT),0,,Onsight,v2,Black,,,,,1
Fri Nov 26 2021 20:45:05 GMT+0000 (GMT),0,,Flash,v2,White,,,,,1
Fri Nov 26 2021 20:50:44 GMT+0000 (GMT),0,,Onsight,v1,,,,,,1
Fri Nov 26 2021 21:04:39 GMT+0000 (GMT),0,,Flash,v2,White,,,,,1
Sun Nov 28 2021 22:13:03 GMT+0000 (GMT),0,,Flash,v0,Black,,Touchstone Pacific Pipe,,,1
Sun Nov 28 2021 22:13:19 GMT+0000 (GMT),0,,Flash,v1,Purple,,Touchstone Pacific Pipe,,,1
